ticker,status,records
20MICRONS,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
21STCENMGM,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
360ONE,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
3IINFOLTD,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
3MINDIA,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
3PLAND,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
5PAISA,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
63MOONS,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
A2ZINFRA,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AAATECH,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AADHARHFC,success,"{'quarterly': 11, 'annual_pl': 8, 'balance_sheet': 8, 'cash_flow': 7, 'ratios': 0}"
AAKASH,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AAREYDRUGS,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AARON,success,"{'quarterly': 13, 'annual_pl': 11, 'balance_sheet': 11, 'cash_flow': 10, 'ratios': 10}"
AARTECH,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AARTIDRUGS,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AARTIIND,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AARTIPHARM,success,"{'quarterly': 13, 'annual_pl': 7, 'balance_sheet': 7, 'cash_flow': 6, 'ratios': 6}"
AARTISURF,success,"{'quarterly': 13, 'annual_pl': 8, 'balance_sheet': 8, 'cash_flow': 7, 'ratios': 7}"
AARVEEDEN,not_found,
AARVI,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
AAVAS,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 0}"
ABAN,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ABB,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ABBOTINDIA,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ABCAPITAL,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ABDL,success,"{'quarterly': 11, 'annual_pl': 9, 'balance_sheet': 9, 'cash_flow': 8, 'ratios': 8}"
ABFRL,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ABIN-RE1,not_found,
ABINFRA,success,"{'quarterly': 11, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ABMINTLLTD,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
ABREL,success,"{'quarterly': 13, 'annual_pl': 13, 'balance_sheet': 13, 'cash_flow': 12, 'ratios': 12}"
