Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_12M_percentile,ROC_6M_percentile,Volatility_60_percentile,Volume_Ratio_percentile,market_cap_current_percentile,ROC_1M_percentile,RSI_percentile,Net_Income_Growth_QoQ_percentile,dividend_yield_percentile,beta_percentile,Revenue_Growth_QoQ_percentile,EBITDA_Growth_YoY_percentile,Gross_Margin_percentile,Current_Ratio_percentile,composite_score,quality_quintile
2025-06-30,10537.0,10599.0,10210.0,10248.0,32560,,,,,,,,,0,87950900000.0,,31891100000.0,,,,,13517800000.0,,,,,12725200000.0,5002400000.0,2042200000.0,,,647900000.0,,,0.393109735013988,0.1604847075095087,0.05091472039732185,,0.3952458225516424,0.6698453608247423,,,,32688421000.0,1329576000.0,5686639000.0,,,0.015117252921800687,,1.0,,123565260800.0,-0.583,,IWEL.NS,,,,,0.4884416691812968,,,,,,78.0028943560058,,,86.45320197044335,,5.338541666666666,90.8,,49.18119387216059,,53.9850554576851,Q4 (High)
2025-06-30,90.30000305175781,92.44999694824219,41.93967056274414,41.93967056274414,58766,,,,,,,,,0,,,,455628000.0,,812206000.0,,,,,,,,,,,25484000.0,,4498000.0,,,,,,,,,,,,,,,,,,0.0,,923343808.0,0.589,,UMANGDAIRY.NS,,,,,0.45323326682219084,,,,,,8.924264351181863,,,,,86.27604166666667,,,,,49.68002040118991,Q3 (Medium)
2025-08-31,15.15999984741211,17.81999969482422,15.149999618530273,15.710000038146973,630284,,,,,,,,,0,,,,,3998281000.0,,695102000.0,,,,,,1449038000.0,,,,2712296000.0,,,101753000.0,,,,,0.20618375631898012,,0.1544813256189339,,,5152339000.0,,,,,,,0.0,,850927424.0,-0.717,,INDSWFTLTD.NS,,,,,0.45182766884629894,,,,,,8.05595754944525,,,,,3.6979166666666665,81.75,,,,46.233591614407466,Q2 (Low)
2025-08-31,36.20000076293945,37.45000076293945,33.810001373291016,36.22999954223633,8044373,-0.027121431007197883,,,,,46.60713932952727,0.6294522933377762,,0,,,,,4828300000.0,3657800000.0,,,,,1.320001093553502,,,3472600000.0,840500000.0,,873500000.0,,,,,,,,,,,,,,,1328500000.0,,,,,0.0,,20347529216.0,-0.236,,UDAICEMENT.NS,,,,,0.42960359991139263,,,,,11.60541586073501,50.554751567776165,63.8472692121798,60.154738878143135,,,16.171875,,,,29.555236728837876,45.459285816511475,Q2 (Low)
2025-10-31,56.310001373291016,56.310001373291016,50.38999938964844,50.459999084472656,22215945,,,,,,,,,0,,,,,,,,,,,,,,227500000.0,,-20701000.0,-77506000.0,,90385000.0,,,,,,,,,,-0.9226628112017693,,,,594069000.0,,,,0.0,,31367266304.0,0.15,,DHANI.NS,,,,,0.36695019380651794,,,,,,58.03183791606368,,,,,47.317708333333336,,9.538621047174702,,,47.659211153104785,Q3 (Medium)
2025-10-31,310.75,310.75,300.25,307.3500061035156,470624,,,,,,,,,0,,,,,,,,,,,,,,,926478000.0,1180216000.0,997261000.0,,212120000.0,168829000.0,,,,,,,,,0.0519609241300627,,,2643668000.0,3553492000.0,,,,0.0,,36425633792.0,-0.204,,MANGCHEFER.NS,,,,,0.44607577758878925,,,,,,60.58851905451037,,,,,17.8125,,48.31518921721099,,,48.44774721811476,Q3 (Medium)
2025-10-31,20.790000915527344,20.790000915527344,20.3700008392334,20.690000534057617,471772,,,,,,,,,0,634931000.0,,274472000.0,360459000.0,540943000.0,263937000.0,254070000.0,,,,2.0495156041024942,,0.0,,-7700000.0,1800000.0,1800000.0,400000.0,1300000.0,100000.0,,,,,,-0.9903846153846154,,-0.9917695473251029,-0.9731743666169895,22477000.0,68246000.0,10834000.0,84896000.0,0.18933082541981197,0.1074856952960243,,1.0,1.3630879575890922,4317160960.0,0.389,,HINDMOTORS.NS,,,,,0.3931775428769695,,,,,,26.145682585624698,,,12.709359605911331,,72.08333333333333,,9.07205806117159,,57.10186513629842,45.14081991482263,Q2 (Low)
2025-10-31,21.84000015258789,21.84000015258789,18.1200008392334,18.850000381469727,1086774,,,,,,,,,0,,,,,,,,,,,,,,82000000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,3705583360.0,,,IEL.NS,,,,,0.4230722209836149,,,,,,24.21611191509889,,,,,,,,,,48.281074127673264,Q3 (Medium)
2025-11-30,444.75,472.5,412.0,423.04998779296875,3769606,-0.06899209182352539,0.11660684312958858,,,0.4137964828587177,38.86750364399204,0.6395629310296682,,0,,,,,,,,,,,,,1883189000.0,1006918000.0,442949000.0,609946000.0,575459000.0,334308000.0,92144000.0,149007000.0,0.5346877026150854,0.23521218528782825,0.17752227737099144,0.32388995475228455,-0.06170454681340409,-0.33653514116400274,-0.4045815115029441,0.46749250468594306,0.40357506109543784,7198277000.0,1609660000.0,1899387000.0,2543433000.0,,,,0.0,,61972205568.0,0.395,0.35,SUNTECK.NS,,,,,0.2674545205486558,81.6247582205029,,,27.224371373307548,12.23404255319149,68.06560540279789,41.95263412276462,41.150870406189554,29.901477832512313,29.80214344600165,72.70833333333333,26.650000000000002,79.62674961119751,72.37189646064448,,48.887525517496215,Q3 (Medium)
2025-11-30,163.0,168.0,150.35000610351562,156.24000549316406,130479,-0.048535417421854854,0.04411994891234805,,,0.5377086604953656,53.75292104898114,1.0493532930582694,,0,9006363000.0,1892789000.0,4157776000.0,4612704000.0,5931431000.0,3828844000.0,273091000.0,2585135000.0,0.410342610321408,0.2101613048463625,1.5491440758620618,0.8739703158446779,1858975000.0,766009000.0,77430000.0,152511000.0,107135000.0,42544000.0,16434000.0,57228000.0,0.4120598717034925,0.041651985637246335,0.022885730039403435,0.08204037171021665,0.18788216101610988,-14.54904458598726,0.05879072967552945,1.1907312049433574,0.1973197673049294,6595465000.0,51664000.0,113034000.0,427205000.0,0.011200371842632869,0.0057363888175504365,0.017375162804725175,1.0,1.768738446362866,1733203968.0,0.054,0.51,SUPERHOUSE.NS,,,,,0.4682961469061228,70.06769825918762,,,10.63829787234043,55.89941972920697,15.050651230101304,53.504108264862246,76.01547388781431,0.8866995073891626,43.11624072547403,37.916666666666664,80.0,64.80041472265422,52.19228737453777,39.52654232424677,46.64096670429877,Q2 (Low)
