Date,Open,High,Low,Close,Volume,ROC_1M,ROC_3M,ROC_6M,ROC_12M,Volatility_60,RSI,Volume_Ratio,Return_Next_Month,Return_Direction,Total_Revenue,Gross_Profit,Operating_Income,EBITDA,EBIT,Net_Income,Tax_Provision,Interest_Expense,Gross_Margin,Operating_Margin,Net_Margin,EBITDA_Margin,Total_Assets,Total_Debt,Total_Liabilities,Stockholders_Equity,Current_Assets,Current_Liabilities,Cash,Inventory,Debt_to_Equity,Debt_to_Assets,Current_Ratio,Quick_Ratio,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Revenue_Growth_YoY,Net_Income_Growth_YoY,EBITDA_Growth_YoY,TTM_Revenue,TTM_Net_Income,TTM_Operating_Income,TTM_EBITDA,ROE,ROA,ROIC,F_Score,Z_Score,market_cap_current,beta,dividend_yield,Ticker,Operating_Cash_Flow,Free_Cash_Flow,Capital_Expenditure,TTM_Operating_Cash_Flow,predicted_probability,ROC_3M_percentile,ROC_1M_percentile,ROC_12M_percentile,Volume_Ratio_percentile,Volatility_60_percentile,RSI_percentile,ROC_6M_percentile,beta_percentile,market_cap_current_percentile,dividend_yield_percentile,Net_Income_Growth_QoQ_percentile,Revenue_Growth_QoQ_percentile,Gross_Margin_percentile,Interest_Expense_percentile,Total_Revenue_percentile,composite_score,quality_quintile
2025-08-31,36.20000076293945,37.45000076293945,33.810001373291016,36.22999954223633,8044373,-0.027121431007197883,,,,,46.60713932952727,0.6294522933377762,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20347529216.0,-0.231,,UDAICEMENT.NS,,,,,0.4222567655800659,,32.42850218128939,,38.6220281416788,,33.932038834951456,,14.979338842975206,50.50847457627119,,,,,,,44.69802550514441,Q2 (Low)
2025-08-31,15.15999984741211,17.81999969482422,15.149999618530273,15.710000038146973,630284,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850927424.0,-0.702,,INDSWFTLTD.NS,,,,,0.39927836550738655,,,,,,,,3.5640495867768593,8.329297820823244,,,,,,,44.126223160506676,Q2 (Low)
2025-10-31,310.75,310.75,300.25,307.3500061035156,470624,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36425633792.0,-0.192,,MANGCHEFER.NS,,,,,0.40003076493159834,,,,,,,,17.071280991735538,60.96852300242131,,,,,,,48.5359869329438,Q3 (Medium)
2025-10-31,21.84000015258789,21.84000015258789,18.1200008392334,18.850000381469727,1086774,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705583360.0,,,IEL.NS,,,,,0.4054297401302098,,,,,,,,,24.26150121065375,,,,,,,48.28410008071025,Q3 (Medium)
2025-10-31,56.310001373291016,56.310001373291016,50.38999938964844,50.459999084472656,22215945,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31367266304.0,0.147,,DHANI.NS,,,,,0.4252436043077027,,,,,,,,45.35123966942149,58.49878934624697,,,,,,,50.256668601044574,Q3 (Medium)
2025-10-31,20.790000915527344,20.790000915527344,20.3700008392334,20.690000534057617,471772,,,,,,,,,0,0.0,,-7700000.0,1800000.0,1800000.0,400000.0,1300000.0,100000.0,,,,,634931000.0,,274472000.0,360459000.0,540943000.0,263937000.0,254070000.0,,,,2.0495156041024942,,,-0.9903846153846154,,-0.9917695473251029,-0.9731743666169895,22477000.0,68246000.0,10834000.0,84896000.0,0.18933082541981197,0.1074856952960243,,1.0,1.3630879575890922,4317160960.0,0.407,,HINDMOTORS.NS,,,,,0.3482755361389014,,,,,,,,72.26239669421489,26.2953995157385,,12.715623459832429,,,4.162330905306972,1.0675273088381332,41.100218525595395,Q2 (Low)
2025-11-30,66.30999755859375,66.88999938964844,64.94999694824219,66.5,908030,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9803060224.0,0.257,,ACLGATI.NS,,,,,0.42554600365324935,,,,,,,,56.84400826446281,38.7409200968523,,,,,,,49.70566189075435,Q3 (Medium)
2026-01-31,6156.0,6200.0,6087.0,6167.5,6472,0.0688908145580589,0.2466798654486202,,,0.2904322332006829,48.282566429034354,0.33126900127344544,,0,3815500000.0,1573300000.0,681800000.0,1054700000.0,1014300000.0,792000000.0,218300000.0,4000000.0,0.41234438474642904,0.17869217664788364,0.2075743677106539,0.27642510811164983,6367500000.0,36500000.0,2201000000.0,4166500000.0,4768400000.0,2088300000.0,385100000.0,1262900000.0,0.00876035041401656,0.0057322340007852374,2.283388402049514,1.6786381267059332,0.08388727913186744,0.9345383488031265,0.12667946257197693,0.8350324374420759,0.681332695679898,14317700000.0,2079500000.0,2379900000.0,2918100000.0,0.49909996399855994,0.32658029053788773,0.5662384011420414,1.0,4.1953843737730665,94936449024.0,0.282,1.86,ESABINDIA.NS,,,,,0.3347668124857958,94.66537342386033,82.06495395055744,,11.450752062105774,59.262851600387975,38.883495145631066,,59.271694214876035,74.09200968523002,84.28689883913765,89.40364711680631,63.76376376376376,52.16925549009106,17.81997918834547,58.19265143992055,59.02182172804756,Q5 (Highest)
2026-01-31,82.0,83.0,79.0,82.19000244140625,17457,0.002439377763724826,-0.24789528404554517,,,0.41963873004874863,39.09489707742666,0.5709651413426118,,0,91694000.0,29256000.0,-244362000.0,-158796000.0,-162135000.0,-355407000.0,-56333000.0,250079000.0,0.3190612253800685,-2.6649726263441447,-3.876011516565969,-1.7318036076515366,22508472000.0,19102782000.0,23955875000.0,-1447403000.0,19932496000.0,14757230000.0,77288000.0,11147952000.0,-13.197970433942723,0.8486929721395571,1.3506935922256413,0.5952705216358355,0.5265541237971565,-0.30044602084842376,0.5281314579028065,1.6791222542176123,-2.5582901554404147,838760000.0,-1854955000.0,-1436038000.0,-1022656000.0,1.281574654743703,-0.08241141380010159,-0.08133713810391723,0.0,0.19937690572687475,3602707456.0,-0.192,,EMAMIREAL.NS,,,,,0.3598371929159762,5.431619786614937,52.787203102278234,,32.84813197476953,24.005819592628512,18.009708737864077,,17.071280991735538,23.87409200968523,,31.148348940364713,92.992992992993,35.19014461703267,79.24037460978148,8.788480635551142,38.09254653275327,Q1 (Lowest)
2026-01-31,1991.5,2068.60009765625,1975.0,2027.5,137436,-0.08033207376001128,-0.42607636424728534,,,0.39152843117184344,40.38411642718394,0.8763890217512841,,0,438049000.0,218432000.0,-247983000.0,263038000.0,-164950000.0,-134608000.0,-50312000.0,19970000.0,0.4986474115909407,-0.5661079011708736,-0.30728982374117964,0.6004762024339743,17785757000.0,1601563000.0,2031300000.0,15754457000.0,7583391000.0,462622000.0,3504970000.0,,0.10165777214663761,0.09004750261684111,16.392197085309387,,0.2130893764088817,3.7373829802210174,-0.07880586217701357,-2.108222256983608,-0.18560556804319694,1549968000.0,89024000.0,-398339000.0,1277032000.0,0.005650718396705136,0.005005353440958403,-0.02295105675149026,1.0,1.7770846413790538,40502484992.0,0.515,,E2E.NS,,,,,0.6778405811384459,0.6789524733268671,10.276296655356278,,60.35904900533722,30.21338506304558,20.388349514563107,,80.91425619834712,62.61501210653753,,97.28930507639231,82.68268268268268,67.8093197643278,36.992715920915714,19.314796425024827,47.96894139239048,Q3 (Medium)
